Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Parkwoods,43.7532586,-79.3296565,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
Parkwoods,43.7532586,-79.3296565,KFC,43.75438666345904,-79.3330206627504,Fast Food Restaurant
Parkwoods,43.7532586,-79.3296565,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
Parkwoods,43.7532586,-79.3296565,Corrosion Service Company Limited,43.75243208667859,-79.33466148402658,Construction & Landscaping
Victoria Village,43.72588229999999,-79.31557159999998,Victoria Village Arena,43.72348055545508,-79.31563520925143,Hockey Arena
Victoria Village,43.72588229999999,-79.31557159999998,Tim Hortons,43.725516631714754,-79.31310251366091,Coffee Shop
Victoria Village,43.72588229999999,-79.31557159999998,Portugril,43.72581876267242,-79.31278541470671,Portuguese Restaurant
Victoria Village,43.72588229999999,-79.31557159999998,The Frig,43.72705130603407,-79.31741760908679,French Restaurant
Victoria Village,43.72588229999999,-79.31557159999998,Cash Money,43.72548580178643,-79.31266509325405,Financial or Legal Service
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Corktown Common,43.655617799749734,-79.3562113397429,Park
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,The Distillery Historic District,43.65024435658077,-79.35932278633118,Historic Site
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,SOMA chocolatemaker,43.65062222570758,-79.35812684032683,Chocolate Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Young Centre for the Performing Arts,43.65082466432163,-79.35759324240415,Performing Arts Venue
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Distillery Sunday Market,43.650074989330655,-79.36183171318665,Farmers Market
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Brick Street Bakery,43.650574039683974,-79.35953942981405,Bakery
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Arvo,43.64996280366945,-79.36144178325522,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Cacao 70,43.650066694561666,-79.36072263183006,Dessert Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Underpass Park,43.65576361726024,-79.3548059463501,Park
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Cluny Bistro & Boulangerie,43.650565116074695,-79.35784287026658,French Restaurant
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Starbucks,43.651613,-79.364917,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Parliament Square Park,43.65026388338689,-79.36219509081177,Park
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,Dark Horse Espresso Bar,43.653080578844275,-79.3570778621122,Coffee Shop
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,El Catrin,43.650600737116996,-79.35892024942333,Mexican Restaurant
"Regent Park, Harbourfront",43.6542599,-79.36063589999998,The Sweet Escape Patisserie,43.65063217302609,-79.35870913127346,Bakery
